bloodmeal_id,locus_count,est_noc,match,human_id,log10_lr,notes,thresh_low
K02_00207,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K10_00117,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M06_0206,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K05_00319,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
L08_00011,9,1,yes,L08_7,13.39,passed all filters,12.5
K02_00216,9,1,yes,K02_5,8.91,passed all filters,8
M09_00310,9,2,yes,M09_12,8.01,passed all filters,7.5
M09_00310,9,2,yes,M09_13,10.09,passed all filters,7.5
M17_00162,2,1,no,NA,NA,all log10LRs NA or Inf;no shared alleles;euroformix error,NA
N10_00007,9,1,yes,N10_1,9.25,passed all filters,8.5
S05_00048,9,1,yes,S05_4,10.74,passed all filters,10
M01_00179,9,1,yes,M01_6,9.61,passed all filters,9
M14_00122,9,1,yes,N13_5,8.6,passed all filters,8
K05_00218,9,1,yes,K05_3,8.82,passed all filters,8
M01_00343,9,1,yes,M01_5,8.96,passed all filters,8
S10_00106,1,1,no,NA,NA,all log10LRs NA or Inf;no shared alleles;euroformix error,NA
S02_00103,9,1,yes,S02_7,8.1,passed all filters,7.5
K05_00310,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K11_00093,9,1,yes,K11_3,11.74,passed all filters,11
N14_00045,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N13_00057,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M16_00198,9,1,yes,M16_5,8.49,passed all filters,7.5
M05_00105,9,1,yes,M05_3,9.78,passed all filters,9
K16_00017,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K10_00081,9,2,yes,K10_2,10.81,passed all filters,10
K15_00027,9,1,yes,K15_1,8.69,passed all filters,8
M06_00108,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N13_00028,9,1,yes,N13_5,8.6,passed all filters,8
S02_00100,9,1,yes,S02_4,9.92,passed all filters,9
M03_0157,9,1,no,NA,NA,all log10LRs < 1.5,NA
N11_00011,9,1,yes,N11_16,8.9,passed all filters,8
M09_0384,9,1,yes,M14_6,7.36,passed all filters,6.5
S14_00030,9,1,yes,S14_4,7.39,passed all filters,6.5
K05_00174,9,1,yes,K05_7,10.62,passed all filters,10
M07_0610,9,1,yes,M07_10,10.11,passed all filters,9.5
N15_00043,9,1,yes,N15_4,11.03,passed all filters,10.5
N04_00022,9,1,yes,N04_5,9.91,passed all filters,9
M01_00335,9,1,yes,M01_5,8.96,passed all filters,8
S02_00064,9,1,yes,S02_7,8.1,passed all filters,7.5
K05_00243,9,1,no,NA,NA,all log10LRs < 1.5,NA
K11_00066,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M06_00116,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
L18_00013,9,1,no,NA,NA,all log10LRs < 1.5,NA
M01_0404,9,1,yes,M01_2,8.24,passed all filters,7.5
M03_00088,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S16_00013,9,2,yes,S16_6,5.51,passed all filters,5
M16_00335,9,1,yes,M16_8,9.01,passed all filters,8.5
S04_00074,9,1,yes,S04_7,11.09,passed all filters,10.5
K02_00127,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M16_00223,9,1,yes,M16_5,8.49,passed all filters,7.5
K13_00096,9,1,yes,K16_5,9.65,passed all filters,9
M04_00103,9,1,yes,K15_4,8.07,passed all filters,7.5
N08_00033,9,1,yes,N08_1,10.06,passed all filters,9.5
S02_00093,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S06_00046,9,2,yes,S06_5,4.58,passed all filters,4
S06_00046,9,2,yes,S06_6,8.23,passed all filters,4
N03_00021,9,1,yes,N03_3,7.86,passed all filters,7
M01_00355,9,2,yes,M01_4,6.26,passed all filters,5.5
M01_00355,9,2,yes,M01_6,8.42,passed all filters,5.5
K13_00187,9,2,yes,K13_3,6.09,passed all filters,3.5
K13_00187,9,2,yes,K13_15-K16_3,4.12,passed all filters,3.5
K05_00318,9,1,yes,K05_3,8.82,passed all filters,8
S04_00073,9,1,yes,S04_12,8.31,passed all filters,7.5
S08_00035,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_0455,5,1,no,NA,NA,> min NOC matches,2.5
M13_00146,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S05_00043,9,1,yes,S05_4,10.74,passed all filters,10
L12_00016,9,1,yes,L12_3,9.34,passed all filters,8.5
N04_00023,9,1,yes,N04_5,9.91,passed all filters,9
K01_00132,9,1,yes,K01_5,9.16,passed all filters,8.5
N13_00058,9,1,yes,N13_5,8.6,passed all filters,8
S04_00138,9,1,yes,S04_4,9.02,passed all filters,8.5
M18_00010,9,1,yes,M18_2,10.25,passed all filters,9.5
N11_00021,9,1,yes,N11_22,12.15,passed all filters,11.5
K15_00039,9,1,yes,K15_1,8.69,passed all filters,8
S09_00065,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M01_0280,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K01_00192,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M17_00039,9,1,yes,M17_3,10.38,passed all filters,9.5
N15_00032,9,1,yes,N15_3,8.6,passed all filters,8
M03_00137,9,1,yes,M03_1,8.45,passed all filters,7.5
K13_00165,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S02_00101,9,1,yes,S02_4,9.92,passed all filters,9
M04_00097,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S08_00036,9,1,yes,S08_3,9.89,passed all filters,9
M17_00160,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M16_00340,9,2,yes,M16_8,7.5,passed all filters,7
S02_00088,9,1,yes,S02_7,8.1,passed all filters,7.5
M06_00104,3,1,no,NA,NA,all log10LRs < 1.5,NA
M05_00094,4,1,yes,M13_2,2.92,passed all filters,2
M07_00449,9,1,yes,M07_10,10.11,passed all filters,9.5
M07_0616,9,1,yes,M07_1,10.64,passed all filters,10
K13_00161,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K16_00003,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M01_0285,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_0479,9,1,yes,M07_1,10.64,passed all filters,10
M16_00112,9,1,yes,M16_5,8.49,passed all filters,7.5
M07_0483,9,1,yes,M07_2,10.19,passed all filters,9.5
S02_00123,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K05_00216,9,1,yes,K05_3,8.82,passed all filters,8
M14_00151,9,1,yes,M14_6,7.36,passed all filters,6.5
S04_00123,9,2,yes,S04_6,5.35,passed all filters,4
S04_00123,9,2,yes,S04_8,4.8,passed all filters,4
M01_00192,9,2,yes,M01_3,6.72,passed all filters,5.5
M01_00192,9,2,yes,M01_6,6.46,passed all filters,5.5
M17_00071,9,1,yes,M17_4,9.25,passed all filters,8.5
N14_00008,9,1,yes,N14_3,10.21,passed all filters,9.5
M07_00450,9,1,yes,M07_7,13.51,passed all filters,13
L18_00021,5,2,no,NA,NA,> min NOC matches,2
M07_00413,9,1,yes,M07_1,10.64,passed all filters,10
N16_00008,9,1,yes,K15_4,8.04,passed all filters,7.5
S05_00041,9,1,yes,S05_4,10.74,passed all filters,10
K05_00217,9,1,yes,K05_3,8.82,passed all filters,8
N15_00012,9,1,yes,N15_3,8.6,passed all filters,8
M06_0221,9,1,yes,M06_3,7.65,passed all filters,7
M07_0456,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_0546,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_00437,9,2,yes,M07_7,8.53,passed all filters,7
M07_00437,9,2,yes,M07_10,7.56,passed all filters,7
S02_00131,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M17_00016,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S09_00069,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S10_00084,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_0481,9,1,yes,M07_2,10.19,passed all filters,9.5
N08_00024,9,1,yes,N08_3,11.46,passed all filters,10.5
M17_00128,9,1,yes,M01_5,8.93,passed all filters,8
K13_00095,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K05_00313,1,1,no,NA,NA,all log10LRs NA or Inf;euroformix error;no shared alleles,NA
M09_00350,9,1,yes,M09_8,10.06,passed all filters,9.5
M16_00294,9,1,no,NA,NA,all log10LRs < 1.5,NA
K01_00179,9,1,yes,K01_5,9.16,passed all filters,8.5
M09_00340,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N13_00061,1,1,no,NA,NA,all log10LRs NA or Inf;no shared alleles,NA
N03_00005,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K10_00069,9,2,yes,K10_3,6.49,passed all filters,4.5
K10_00069,9,2,yes,K10_5,5.29,passed all filters,4.5
M09_0407,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M17_00069,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M09_00465,6,2,yes,L08_1,3.54,passed all filters,2
M09_00465,6,2,yes,M09_4,2.85,passed all filters,2
S02_00146,9,1,yes,S02_4,9.92,passed all filters,9
M03_00106,9,1,yes,M03_1,8.45,passed all filters,7.5
S14_00026,9,1,yes,S14_6,7.42,passed all filters,6.5
K05_00176,9,1,yes,K05_4,10.12,passed all filters,9.5
M01_00345,9,2,yes,M01_6,7.33,passed all filters,6.5
L16_00041,9,1,yes,K05_3,7.79,passed all filters,7
K02_00166,9,1,yes,K02_5,8.91,passed all filters,8
N15_00009,9,1,yes,N15_3,8.6,passed all filters,8
K03_00101,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
L01_00011,9,1,yes,L01_1,9.68,passed all filters,9
N13_00019,9,1,no,NA,NA,all log10LRs < 1.5,NA
M01_00191,9,2,yes,M01_7,9.02,passed all filters,8.5
L02_00008,2,1,no,NA,NA,all log10LRs NA or Inf;no shared alleles,NA
M09_0375,9,1,yes,M09_7,9.58,passed all filters,9
M17_00020,9,1,yes,M17_3,10.38,passed all filters,9.5
K11_00042,9,2,yes,K11_3,7.96,passed all filters,7
K11_00042,9,2,yes,K11_4,7.52,passed all filters,7
M03_00168,9,1,yes,K15_1,8.69,passed all filters,8
M07_0601,1,1,no,NA,NA,all log10LRs NA or Inf;euroformix error;no shared alleles,NA
S02_00065,9,2,yes,S02_4,8.68,passed all filters,6.5
S02_00065,9,2,yes,S02_7,7.12,passed all filters,6.5
S09_00066,4,1,no,NA,NA,all log10LRs NA or Inf,NA
L18_00017,9,2,yes,L18_6,8.94,passed all filters,1
L18_00017,9,2,yes,L05_12,1.68,passed all filters,1
M09_00347,9,2,yes,M09_7,9.58,passed all filters,9
S02_00077,9,1,yes,S02_7,8.1,passed all filters,7.5
K02_00147,9,1,yes,K02_10,8.57,passed all filters,8
K03_00080,9,1,yes,K03_6,9.96,passed all filters,9
M07_0614,9,1,no,NA,NA,all log10LRs < 1.5,NA
S10_00046,9,1,yes,S10_8,9.8,passed all filters,9
M16_00154,9,2,yes,M16_3,8.07,passed all filters,2.5
M16_00154,9,2,yes,M16_4,3.31,passed all filters,2.5
M17_00118,9,1,yes,M17_4,9.25,passed all filters,8.5
K01_00102,9,2,no,NA,NA,> min NOC matches,5.5
K01_00105,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K12_00104,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M12_00034,9,1,yes,M12_16,11.83,passed all filters,11
N11_00013,9,1,yes,N11_5,8.3,passed all filters,7.5
K02_00149,9,1,yes,K02_10,8.57,passed all filters,8
M09_0405,9,1,yes,M14_6,7.36,passed all filters,6.5
S02_00118,9,1,yes,S02_4,9.92,passed all filters,9
S02_00147,9,1,yes,S02_4,9.92,passed all filters,9
S04_00116,8,1,yes,S04_8,9.27,passed all filters,8.5
N15_00017,9,1,yes,N15_3,8.6,passed all filters,8
K01_00168,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S09_00067,9,1,yes,S09_8,8.9,passed all filters,8
N03_00008,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M01_00359,9,1,yes,M01_5,8.79,passed all filters,8
N13_00038,9,1,yes,N13_5,8.6,passed all filters,8
S07_00011,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_0458,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M09_0366,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M13_00162,2,1,no,NA,NA,all log10LRs NA or Inf,NA
S14_00020,4,2,no,NA,NA,> min NOC matches,1.5
S14_00028,9,1,yes,S14_6,7.42,passed all filters,6.5
K13_00145,9,2,yes,K13_3,10.07,passed all filters,9.5
N13_00056,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K11_00088,9,1,yes,K11_4,11.3,passed all filters,10.5
K02_00230,9,1,yes,K02_5,8.91,passed all filters,8
M09_0447,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N08_00005,9,1,yes,N08_1,10.06,passed all filters,9.5
K13_00118,4,1,no,NA,NA,> min NOC matches,8.5
K12_00139,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N15_00019,9,1,yes,N15_3,8.6,passed all filters,8
L14_00001,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_0606,9,3,yes,M07_10,2.86,passed all filters,2
K09_00060,7,2,yes,K09_7,4.44,passed all filters,3.5
N13_00023,9,1,yes,N13_3,9.29,passed all filters,8.5
S16_00030,9,1,yes,S16_4,8.09,passed all filters,7.5
M01_00363,9,1,yes,M01_3,9.88,passed all filters,9
S14_00086,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_00416,9,2,yes,M07_1,10.09,passed all filters,5.5
M07_00416,9,2,yes,M07_2,6.07,passed all filters,5.5
M16_00344,9,1,yes,M16_4,9.23,passed all filters,8.5
M01_00341,9,1,yes,M01_5,8.96,passed all filters,8
K10_00087,9,2,yes,K10_1,8.13,passed all filters,6.5
K10_00087,9,2,yes,K10_3,7.14,passed all filters,6.5
M13_00156,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M03_00131,3,1,no,NA,NA,all log10LRs NA or Inf,NA
M17_00172,8,1,yes,M17_4,7.97,passed all filters,7
N13_00063,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S02_00081,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M06_00109,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K02_00219,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K02_00185,9,1,yes,K02_7,8.8,passed all filters,8
K10_00114,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M17_00011,9,2,yes,M17_4,9.25,passed all filters,8.5
N14_00052,9,1,yes,N14_3,10.21,passed all filters,9.5
N11_00008,9,1,yes,N11_5,8.3,passed all filters,7.5
S02_00072,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S10_00082,9,1,yes,L04_3,7.77,passed all filters,7
K02_00126,9,1,yes,K02_6,7.77,passed all filters,7
K13_00211,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K13_00091,9,2,yes,K13_3,8.67,passed all filters,6
K13_00091,9,2,yes,K13_15-K16_3,6.86,passed all filters,6
K05_00211,9,1,yes,K05_3,8.82,passed all filters,8
M09_00451,9,1,yes,M09_4,9.13,passed all filters,8.5
K13_00094,9,1,yes,K16_4,9.32,passed all filters,8.5
S14_00027,9,1,yes,S14_13,8.61,passed all filters,8
K04_00045,9,1,yes,K04_2,8.86,passed all filters,8
S16_00033,9,1,yes,S16_3,10.46,passed all filters,9.5
K02_00168,9,1,yes,K02_6,7.77,passed all filters,7
N15_00040,9,1,yes,N15_5,9,passed all filters,8.5
K01_00194,6,1,no,NA,NA,all log10LRs < 1.5,NA
K13_00120,9,1,yes,K13_15-K16_3,7.89,passed all filters,7
S02_00096,9,1,yes,S02_7,8.1,passed all filters,7.5
M06_00129,9,2,yes,M06_1,9.55,passed all filters,9
K05_00181,9,1,yes,K05_3,8.82,passed all filters,8
N13_00018,9,1,yes,N13_3,9.29,passed all filters,8.5
S10_00092,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K15_00052,9,2,yes,K15_4,6.73,passed all filters,6
K15_00052,9,2,yes,K15_3,7.11,passed all filters,6
S04_00109,9,1,no,NA,NA,all log10LRs < 1.5,NA
M16_00240,9,1,no,NA,NA,all log10LRs < 1.5,NA
M07_00440,8,1,yes,M07_2,6.16,passed all filters,5.5
L16_00023,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M16_00332,9,2,yes,M16_5,7.35,passed all filters,6
M16_00332,9,2,yes,M16_8,6.66,passed all filters,6
M16_00236,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
L08_00003,9,1,yes,L08_5,9.93,passed all filters,9
N04_00016,9,1,yes,N04_2,8.18,passed all filters,7.5
K02_00221,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K12_00148,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N08_00030,9,1,yes,N08_1,10.06,passed all filters,9.5
K01_00187,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K01_00131,9,1,yes,K01_4,8.49,passed all filters,7.5
S14_00059,9,1,yes,S14_4,7.39,passed all filters,6.5
M07_00442,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K15_00011,9,1,yes,K15_3,9.09,passed all filters,8.5
M09_00321,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M09_0449,9,2,yes,M09_4,8.96,passed all filters,8
S14_00062,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M06_0223,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M17_00045,9,1,yes,M17_3,10.38,passed all filters,9.5
M09_0361,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M16_00172,9,1,yes,M16_2,10.62,passed all filters,10
M17_00126,9,1,yes,M17_4,9.24,passed all filters,8.5
K05_00167,9,1,yes,K05_1,9.99,passed all filters,9
M16_00359,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S14_00029,9,1,yes,S14_5,8.74,passed all filters,8
K12_00138,3,1,no,NA,NA,all log10LRs NA or Inf,NA
M09_0363,6,2,yes,M09_8,4.75,passed all filters,4
K01_00110,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K12_00123,9,2,yes,K12_4,7.75,passed all filters,6.5
K12_00123,9,2,yes,K12_5,7.29,passed all filters,6.5
M03_00170,9,1,yes,M03_1,8.45,passed all filters,7.5
M05_00132,9,1,yes,M05_1,9.07,passed all filters,8.5
M07_0615,9,2,yes,M07_10,9.18,passed all filters,8.5
N11_00025,9,1,yes,N11_5,8.3,passed all filters,7.5
K02_00125,9,1,yes,K02_6,7.77,passed all filters,7
M09_0353,9,1,yes,M09_13,10.29,passed all filters,9.5
M16_00227,9,1,yes,M16_5,8.49,passed all filters,7.5
K04_00054,9,1,yes,K04_5,8.41,passed all filters,7.5
M09_XX356,9,1,yes,M09_4,9.13,passed all filters,8.5
M17_00100,9,1,yes,M17_4,9.25,passed all filters,8.5
M03_00113,9,1,yes,M03_2,10.43,passed all filters,9.5
M07_0570,9,1,yes,M07_10,10.11,passed all filters,9.5
M01_00395,9,1,yes,M01_6,9.61,passed all filters,9
N09_00011,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_00433,9,2,yes,M07_1,7.25,passed all filters,6
M07_00433,9,2,yes,M07_2,6.77,passed all filters,6
M16_00231,8,1,yes,M16_4,3.89,passed all filters,3
K05_00154,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K07_00134,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
L05_00020,9,1,yes,L05_4,9.69,passed all filters,9
K10_00113,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K05_00316,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N16_00003,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M16_00119,9,1,yes,M16_5,8.49,passed all filters,7.5
K10_00097,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M09_00524,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S14_00022,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K04_00026,9,1,yes,K04_4,9.26,passed all filters,8.5
K05_00235,9,1,yes,K05_5,8.51,passed all filters,8
M17_00067,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K11_00087,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S06_00047,9,1,yes,S06_5,8.1,passed all filters,7.5
M09_00510,9,1,yes,M09_4,9.13,passed all filters,8.5
N16_00005,9,1,yes,N16_3,8.21,passed all filters,7.5
M09_0420,9,1,yes,M09_4,9.13,passed all filters,8.5
L09_00005,9,2,yes,L09_7,5.63,passed all filters,5
M09_00315,9,1,no,NA,NA,all log10LRs < 1.5,NA
S17_00002,9,1,yes,S17_1,10.3,passed all filters,9.5
K05_00175,9,1,yes,K05_1,9.99,passed all filters,9
M17_00158,5,1,no,NA,NA,all log10LRs < 1.5,NA
M09_XX351,9,1,yes,M09_7,9.58,passed all filters,9
S16_00034,9,1,yes,S16_5,10.55,passed all filters,10
K12_00106,8,1,yes,K12_7-K14_4,6.91,passed all filters,6
M16_00237,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K15_00057,9,1,yes,K15_1,8.69,passed all filters,8
S01_00124,9,1,yes,S01_3,9,passed all filters,8.5
M09_XX365,9,1,yes,M09_4,9.13,passed all filters,8.5
K02_00208,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M09_00318,9,1,yes,M09_1,10.36,passed all filters,9.5
M13_00174,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S04_00097,9,1,no,NA,NA,all log10LRs < 1.5,NA
S05_00059,9,1,yes,S05_2,8.79,passed all filters,8
K13_00079,9,2,yes,K16_4,9.32,passed all filters,1.5
K13_00079,9,2,yes,K11_8,2.23,passed all filters,1.5
L02_00002,9,1,yes,L02_3,9.28,passed all filters,8.5
M04_00109,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
L12_00020,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K12_00107,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M03_00130,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K15_00058,8,5,no,NA,NA,all log10LRs < 1.5,NA
M17_00040,9,1,yes,M17_3,10.38,passed all filters,9.5
S14_00069,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M03_00178,9,1,yes,M03_1,8.45,passed all filters,7.5
M07_00446,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N16_00051,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S04_00111,6,2,yes,S01_15,1.44,passed all filters,1
S04_00111,6,2,yes,S04_8,1.73,passed all filters,1
M17_00112,9,1,yes,M17_4,9.25,passed all filters,8.5
K05_00321,9,1,yes,K05_3,7.02,passed all filters,6.5
M09_00337,9,1,yes,M09_4,9.13,passed all filters,8.5
M09_0374,9,1,yes,M09_8,10.06,passed all filters,9.5
K12_00118,9,1,yes,K12_4,9.34,passed all filters,8.5
M06_0215,9,1,yes,M06_1,10.08,passed all filters,9.5
S05_00061,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_0608,9,1,yes,M07_10,10.11,passed all filters,9.5
N11_00016,6,1,yes,N11_5,3.96,passed all filters,3
S16_00008,9,1,yes,S16_5,10.55,passed all filters,10
S04_00100,9,1,yes,S04_8,10.31,passed all filters,9.5
M09_0378,9,1,yes,M09_3,9.91,passed all filters,9
N11_00022,9,1,yes,N11_16,8.9,passed all filters,8
M17_00130,9,1,yes,M17_4,9.25,passed all filters,8.5
K10_00108,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
L16_00040,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M09_00525,9,2,yes,M09_7,7.3,passed all filters,6.5
M09_00525,9,2,yes,M09_13,8.03,passed all filters,6.5
M16_00295,9,1,yes,M16_6,10.82,passed all filters,10
N15_00020,9,1,yes,N15_3,8.6,passed all filters,8
M06_0200,9,1,yes,M06_1,10.08,passed all filters,9.5
M03_00112,9,1,yes,M03_1,8.45,passed all filters,7.5
K05_00186,3,1,no,NA,NA,all log10LRs NA or Inf,NA
S10_00107,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K13_00073,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
K02_00210,9,2,yes,K02_7,4.93,passed all filters,4
K11_00091,9,2,yes,K11_5-K13_12,7.84,passed all filters,7
K11_00091,9,2,yes,K11_7,8.14,passed all filters,7
M07_0577,9,2,yes,M07_10,10.06,passed all filters,9.5
M07_00435,9,1,no,NA,NA,all log10LRs < 1.5,NA
S10_00086,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S10_00035,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S14_00061,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S02_00110,9,1,yes,S02_7,8.1,passed all filters,7.5
M16_00230,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
L09_00031,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
N08_00027,9,1,yes,N08_3,11.41,passed all filters,10.5
M06_0214,9,1,yes,M06_1,10.08,passed all filters,9.5
M07_0548,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M01_00336,9,1,yes,M01_5,8.96,passed all filters,8
M16_00331,9,1,yes,M16_5,8.49,passed all filters,7.5
S04_00115,9,2,yes,S04_8,7.14,passed all filters,5
S04_00115,9,2,yes,S04_4,5.86,passed all filters,5
K10_00076,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M05_00147,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
M07_00412,9,2,yes,M07_10,8.27,passed all filters,7.5
N09_00005,9,1,yes,N09_1,8.8,passed all filters,8
N14_00046,0,0,no,NA,NA,all log10LRs NA or Inf;no peaks above threshold,NA
S01_00101,9,1,yes,S01_2,8.22,passed all filters,7.5
K09_00043,9,1,yes,K09_12,10.2,passed all filters,9.5
M01_00390,9,2,yes,M01_4,6.95,passed all filters,6
M01_00390,9,2,yes,M01_11,8.34,passed all filters,6
